ticket_id,merchant_id,category,sub_category,priority,created_at,is_legacy,assigned_agent_id,category_mismatch,first_response_at,closed_at,ttfr_hours,resolution_hours,response_breached,resolution_breached,is_reopened,is_reopen_child,is_incident_ticket,csat_score
847201,197,Account Access,User Permissions,P4,2025-05-13 02:10:36.000000000,True,212,False,2025-05-13 06:51:56.548614289,2025-05-14 08:19:29.131285834,4.6890412817469445,30.14809202384277,0.0,0.0,False,False,False,
847202,161,API Integrations,Authentication Error,P3,2026-01-21 21:44:35.000000000,True,214,False,2026-01-21 23:36:40.864611422,2026-01-23 03:25:44.030910660,1.868295725395,29.68584191962778,0.0,1.0,False,False,False,
847203,117,Account Access,SSO Failure,P1,2025-08-30 23:03:11.000000000,True,213,False,2025-08-30 23:22:34.898320990,2025-08-31 00:34:49.493152040,0.3233050891638889,1.5273592089,1.0,0.0,False,False,False,
847204,106,API Integrations,Endpoint Timeout,P3,2026-03-06 05:21:55.000000000,True,201,False,2026-03-06 08:28:01.607204412,2026-03-07 11:11:38.026524277,3.1018353345588885,29.828618478965836,0.0,1.0,True,False,False,
847205,193,Account Access,SSO Failure,P1,2025-11-18 07:28:22.000000000,True,212,False,2025-11-18 07:47:27.392581657,2025-11-18 08:42:33.476737625,0.3181646060158333,1.2365213160069446,1.0,0.0,False,False,False,
847206,160,Payments & Checkout,3DS Authentication,P4,2026-06-07 16:59:13.000000000,True,207,False,2026-06-07 22:32:05.365556762,2026-06-10 03:11:48.418105219,5.547879321322778,58.20983836256083,0.0,1.0,True,False,False,0.48
847207,132,Payments & Checkout,Refund Processing,P3,2026-05-18 23:03:47.000000000,True,207,False,2026-05-19 01:28:04.177796180,2026-05-19 20:56:45.727755142,2.40477161005,21.88297993198389,0.0,0.0,True,False,False,
847208,206,Payments & Checkout,Refund Processing,P3,2026-05-10 10:29:43.000000000,True,215,False,2026-05-10 13:24:10.916010427,2026-05-12 02:02:07.566870954,2.907754447340833,39.54015746415389,0.0,1.0,False,False,False,
847209,132,Fulfilment & Logistics,Inventory Mismatch,P3,2025-06-21 07:58:14.000000000,True,206,False,2025-06-21 10:43:15.973130890,2025-06-22 03:43:35.061511154,2.750548091913889,19.755850419765,0.0,0.0,False,False,False,
847210,190,Fulfilment & Logistics,Inventory Mismatch,P3,2025-04-29 23:10:56.000000000,True,208,False,2025-04-30 01:55:11.691521699,2025-05-01 07:09:56.023969623,2.7376920893608334,31.983339991561945,0.0,1.0,False,False,False,
847211,148,Payments & Checkout,Refund Processing,P3,2025-10-16 14:57:56.000000000,True,215,False,2025-10-16 17:37:09.609243314,2025-10-18 10:24:25.584892378,2.653780345365,43.44155135899389,0.0,1.0,False,False,False,
847212,125,Notifications,SMS Gateway Drag,P4,2025-11-06 13:10:08.000000000,True,218,False,2025-11-06 19:35:22.986603714,2025-11-07 20:47:49.062719576,6.420829612142778,31.62807297766,0.0,0.0,False,False,False,0.98
847213,136,Notifications,Template Syntax Error,P3,2025-03-18 09:00:39.000000000,True,220,False,2025-03-18 11:45:14.614750606,2025-03-18 23:48:43.144495010,2.743226319612778,14.801151248613888,0.0,0.0,False,False,False,
847214,116,Notifications,Template Syntax Error,P3,2025-11-04 03:45:48.000000000,True,220,False,2025-11-04 07:00:07.712385877,2025-11-05 00:38:02.645675301,3.238808996076944,20.870734909805837,0.0,0.0,False,False,False,1.0
847215,198,API Integrations,Authentication Error,P3,2025-01-30 23:29:30.000000000,True,205,False,2025-01-31 01:16:25.878903926,2025-02-01 14:24:24.261472935,1.782188584423889,38.91507263137083,0.0,1.0,True,False,False,
847216,151,Fulfilment & Logistics,Tracking Updates,P3,2025-08-23 06:06:12.000000000,True,206,False,2025-08-23 08:15:31.472512611,2025-08-23 21:45:45.042515036,2.155409031280833,15.659178476398887,0.0,0.0,False,False,False,
847217,122,Payments & Checkout,3DS Authentication,P3,2025-09-22 00:42:35.000000000,True,204,False,2025-09-22 04:38:01.815927782,2025-09-24 06:56:58.236257742,3.924115535495,54.23978784937278,0.0,1.0,False,False,False,
847218,142,Fulfilment & Logistics,Carrier Sync Failure,P1,2025-11-01 03:25:38.000000000,True,208,False,2025-11-01 04:01:42.538609809,2025-11-01 06:38:16.571005347,0.6012607249469444,3.210714168151944,1.0,1.0,False,False,False,
847219,160,Account Access,SSO Failure,P3,2025-08-07 03:53:23.000000000,True,216,True,2025-08-07 07:22:55.678141478,2025-08-07 19:42:22.676163599,3.492410594855,15.816576712110832,0.0,0.0,True,False,False,
847220,106,API Integrations,Endpoint Timeout,P3,2025-12-27 00:43:46.000000000,True,213,True,2025-12-27 03:13:32.680829954,2025-12-28 15:05:23.848940905,2.496300230542778,38.36051359469584,0.0,1.0,True,False,False,
847221,199,Notifications,Template Syntax Error,P3,2026-04-13 12:53:01.000000000,True,220,False,2026-04-13 15:39:09.534303680,2026-04-14 11:57:40.325614074,2.769037306577778,23.077590448353888,0.0,0.0,False,False,False,
847222,206,API Integrations,Endpoint Timeout,P4,2025-02-04 13:43:22.000000000,True,209,True,2025-02-05 02:49:50.788866769,2025-02-10 22:40:13.659641831,13.107996907435831,152.94768323384193,1.0,1.0,True,False,False,
847223,158,Account Access,2FA Reset,P3,2025-03-16 03:28:26.000000000,True,216,True,2025-03-16 06:59:17.700480189,2025-03-17 06:16:39.969992416,3.5143612444969445,26.803880553448888,0.0,1.0,True,False,False,
847224,123,Fulfilment & Logistics,Label Generation,P2,2025-05-18 14:27:08.000000000,True,216,False,2025-05-18 15:26:12.692467914,2025-05-18 22:37:59.498555495,0.9846367966427778,8.180971820970834,0.0,1.0,False,False,False,0.78
847225,101,Payments & Checkout,Refund Processing,P3,2025-03-13 13:18:48.000000000,True,204,False,2025-03-13 17:18:04.987787880,2025-03-15 07:31:38.381089372,3.9880521633,42.21399474704778,0.0,1.0,False,False,False,
847226,209,Fulfilment & Logistics,Tracking Updates,P3,2025-07-17 05:23:50.000000000,True,209,False,2025-07-17 09:11:40.451221220,2025-07-18 06:14:50.638621611,3.79734756145,24.850177394891944,0.0,1.0,False,False,False,0.67
847227,164,Notifications,Email Delivery Failure,P4,2025-06-26 01:48:21.000000000,True,220,False,2025-06-26 11:01:20.744860405,2025-06-27 21:59:16.130294737,9.216595794556945,44.18198063742695,0.0,0.0,False,False,False,
847228,176,Notifications,SMS Gateway Drag,P3,2025-02-12 19:30:09.000000000,True,218,False,2025-02-12 22:15:10.293474841,2025-02-13 06:41:11.472836582,2.7503592985669445,11.184020232383888,0.0,0.0,False,False,False,
847229,157,Fulfilment & Logistics,Tracking Updates,P2,2026-06-22 08:33:24.000000000,True,210,False,2026-06-22 10:06:59.127728074,2026-06-22 23:03:47.005687654,1.5597577022427778,14.506390468792777,1.0,1.0,False,False,False,
847230,194,Notifications,SMS Gateway Drag,P2,2025-01-22 05:33:33.000000000,True,218,False,2025-01-22 07:22:15.996483219,2025-01-22 13:57:46.137063242,1.8119434675608328,8.403649184233888,1.0,1.0,False,False,False,0.63
847231,190,API Integrations,Webhook Failures,P3,2025-07-24 00:35:36.000000000,True,211,False,2025-07-24 01:46:44.870168929,2025-07-24 21:59:28.966347633,1.1857972691469445,21.398046207675836,0.0,0.0,False,False,False,
847232,123,Notifications,Webhook Retries,P3,2026-04-01 18:48:03.000000000,True,218,False,2026-04-01 21:08:27.469512579,2026-04-02 10:51:03.840871191,2.340130420160833,16.050233575330832,0.0,0.0,False,False,False,
847233,195,Fulfilment & Logistics,Carrier Sync Failure,P4,2026-06-27 12:36:02.000000000,True,208,False,2026-06-27 21:10:13.498074165,2026-06-29 15:25:46.205997494,8.569860576156945,50.828946110415,0.0,1.0,False,False,False,
847234,101,Fulfilment & Logistics,Carrier Sync Failure,P4,2025-02-22 16:37:50.000000000,True,216,False,2025-02-22 20:28:51.209956187,2025-02-24 03:23:54.176989086,3.850336098940833,34.76782694141278,0.0,0.0,False,False,False,
847235,180,Notifications,Email Delivery Failure,P2,2026-02-07 02:23:18.000000000,True,218,False,2026-02-07 04:04:59.352811112,2026-02-07 16:45:57.706622691,1.694820225308889,14.377696284080834,1.0,1.0,False,False,False,0.63
847236,184,Fulfilment & Logistics,Label Generation,P4,2025-05-17 17:18:17.000000000,True,210,False,2025-05-18 00:00:26.206772145,2025-05-20 10:02:28.628626852,6.702557436706945,64.7365635074589,0.0,1.0,False,False,False,0.71
847237,133,API Integrations,Rate Limiting,P3,2025-06-25 00:04:47.000000000,True,201,False,2025-06-25 03:11:00.776959487,2025-06-27 02:15:56.151581796,3.1038269331908337,50.18587543938778,0.0,1.0,False,False,False,
847238,167,Notifications,Webhook Retries,P4,2025-02-17 17:04:10.000000000,True,206,True,2025-02-18 00:47:56.077958243,2025-02-19 04:06:47.057872357,7.729466099511945,35.04362718676583,0.0,0.0,False,False,False,0.98
847239,144,Payments & Checkout,Card Declines,P3,2025-06-27 22:28:57.000000000,True,218,True,2025-06-28 03:25:10.328592230,2025-06-29 17:29:27.658342769,4.937035720063888,43.00851620632472,1.0,1.0,False,False,False,
847240,102,Notifications,Email Delivery Failure,P2,2025-04-24 07:11:40.000000000,True,212,True,2025-04-24 08:27:18.121211890,2025-04-24 17:04:54.604092084,1.260589225525,9.88739002557889,1.0,1.0,False,False,False,
847241,181,Notifications,Webhook Retries,P3,2026-02-25 00:27:01.000000000,True,220,False,2026-02-25 04:02:17.251633387,2026-02-25 17:38:58.036920913,3.587847675940833,17.199176922475832,0.0,0.0,False,False,False,
847242,190,Fulfilment & Logistics,Tracking Updates,P3,2026-05-01 02:41:12.000000000,True,216,False,2026-05-01 05:15:14.392472704,2026-05-01 18:01:22.872938738,2.5673312424177777,15.33635359409389,0.0,0.0,False,False,False,
847243,158,Fulfilment & Logistics,Inventory Mismatch,P3,2026-03-14 22:40:02.000000000,True,206,False,2026-03-15 01:13:32.078875149,2026-03-15 18:38:20.515856360,2.5583552430969445,19.9718099601,0.0,0.0,False,False,False,
847244,136,Notifications,SMS Gateway Drag,P3,2025-05-04 21:14:03.000000000,True,218,False,2025-05-05 00:44:24.019919634,2025-05-05 18:12:33.409298047,3.505838866565,20.975113693901942,0.0,0.0,False,False,False,
847245,110,Payments & Checkout,Card Declines,P4,2025-02-25 12:37:54.000000000,True,204,False,2025-02-25 18:44:05.698981113,2025-02-28 19:12:55.677465423,6.103249716975833,78.58379929595084,0.0,1.0,True,False,False,0.35
847246,199,Notifications,Email Delivery Failure,P3,2025-11-02 17:32:31.000000000,True,218,False,2025-11-02 20:10:13.968493771,2025-11-03 10:37:56.051411330,2.6286023593808334,17.09029205870278,0.0,0.0,False,False,False,
847247,124,API Integrations,Rate Limiting,P3,2025-05-02 05:59:58.000000000,True,211,False,2025-05-02 06:53:08.953039508,2025-05-03 02:45:01.453767517,0.8863758443077778,20.750959379865836,0.0,0.0,False,False,False,
847248,123,Notifications,Template Syntax Error,P3,2025-02-14 07:13:15.000000000,True,220,False,2025-02-14 10:00:43.066257283,2025-02-15 00:28:08.554558732,2.7911295159119445,17.24820959964778,0.0,0.0,False,False,False,
847249,162,Payments & Checkout,Payout Delays,P2,2025-06-03 23:34:07.000000000,True,207,False,2025-06-04 01:13:13.252586858,2025-06-04 16:24:38.165068296,1.6517368296827777,16.84199029674889,1.0,1.0,False,False,False,
847250,159,API Integrations,Endpoint Timeout,P3,2025-02-08 18:55:07.000000000,True,214,False,2025-02-08 20:28:24.236476802,2025-02-10 13:02:53.737673770,1.5547879102227775,42.129649353825,0.0,1.0,False,False,False,
847251,205,Account Access,2FA Reset,P2,2025-09-28 06:07:55.000000000,True,212,False,2025-09-28 06:56:37.354149468,2025-09-28 14:31:19.601743333,0.8117650415188888,8.390167150925834,0.0,1.0,False,False,False,
847252,178,Account Access,SSO Failure,P3,2025-07-03 17:30:02.000000000,True,204,True,2025-07-03 22:34:32.520351027,2025-07-05 13:01:04.473011458,5.0751445419519445,43.51735361429389,1.0,1.0,False,False,False,
847253,169,API Integrations,Authentication Error,P3,2025-09-15 11:25:02.000000000,True,216,True,2025-09-15 14:37:53.019354396,2025-09-17 19:06:06.888103064,3.214172042887778,55.68469113974,0.0,1.0,False,False,False,
847254,185,Account Access,SSO Failure,P3,2025-02-02 23:40:41.000000000,True,219,False,2025-02-03 01:49:24.218060234,2025-02-03 13:10:14.931743403,2.1453383500650003,13.492758817611945,0.0,0.0,False,False,False,1.0
847255,139,API Integrations,Webhook Failures,P4,2026-02-21 23:35:19.000000000,True,214,False,2026-02-22 05:03:12.706158870,2026-02-25 08:25:16.595182103,5.464918377463889,80.83266532836194,0.0,1.0,False,False,False,
847256,114,Notifications,Email Delivery Failure,P3,2026-06-17 02:12:53.000000000,True,220,False,2026-06-17 04:48:46.331739425,2026-06-17 17:37:51.593133987,2.5981477053958337,15.416275870551944,0.0,0.0,False,False,False,
847257,175,Fulfilment & Logistics,Label Generation,P3,2025-12-24 04:11:21.000000000,True,208,False,2025-12-24 07:02:52.323094264,2025-12-25 12:46:52.929909856,2.8587008595177776,32.59220275273778,0.0,1.0,False,False,False,0.7
847258,208,Fulfilment & Logistics,Inventory Mismatch,P2,2026-03-17 09:11:20.000000000,True,209,False,2026-03-17 11:11:58.777016603,2026-03-18 08:35:07.800401889,2.0107713935008333,23.396611222746944,1.0,1.0,False,False,False,
847259,113,Payments & Checkout,Card Declines,P4,2025-07-30 14:26:52.000000000,True,213,True,2025-07-30 22:27:29.121227761,2025-08-03 03:11:38.076180334,8.010311452155833,84.74613227231501,0.0,1.0,False,False,False,
847260,166,Fulfilment & Logistics,Label Generation,P4,2025-06-05 23:00:08.000000000,True,218,True,2025-06-06 08:47:14.916985343,2025-06-09 15:44:26.576950082,9.785254718150831,88.738493597245,0.0,1.0,False,False,False,
847261,108,Notifications,Email Delivery Failure,P2,2025-04-24 13:44:49.000000000,True,209,True,2025-04-24 17:06:59.556875934,2025-04-25 11:35:59.608429398,3.369599132203889,21.85294678594389,1.0,1.0,False,False,False,
847262,171,Notifications,Email Delivery Failure,P4,2025-04-26 20:09:51.000000000,True,218,False,2025-04-27 02:43:28.551622482,2025-04-27 22:15:46.159385712,6.560431006245,26.09865538492,0.0,0.0,False,False,False,
847263,131,Payments & Checkout,Card Declines,P4,2025-03-05 14:44:20.000000000,True,207,False,2025-03-05 20:09:51.873972620,2025-03-08 11:03:25.951540834,5.42552054795,68.3183198724539,0.0,1.0,True,False,False,
847264,191,Account Access,2FA Reset,P3,2025-04-09 09:36:37.000000000,True,207,True,2025-04-09 12:22:50.092310581,2025-04-10 04:16:19.801259561,2.7703034196058334,18.661889238766943,0.0,0.0,False,False,False,
847265,145,Fulfilment & Logistics,Carrier Sync Failure,P3,2026-02-16 02:45:21.000000000,True,201,True,2026-02-16 07:02:06.936464491,2026-02-17 15:02:23.838344589,4.279426795691944,36.28412176238584,1.0,1.0,True,False,False,
847266,120,Notifications,SMS Gateway Drag,P3,2026-04-15 16:22:16.000000000,True,218,False,2026-04-15 19:30:08.134194035,2026-04-16 05:04:56.095874454,3.1311483872319443,12.711137742903889,0.0,0.0,False,False,False,
847267,139,API Integrations,Endpoint Timeout,P2,2026-03-04 18:39:35.000000000,True,211,False,2026-03-04 19:06:16.628132358,2026-03-05 03:42:57.507211750,0.4448967034327777,9.05625200326389,0.0,1.0,True,False,False,
847268,163,Payments & Checkout,Payout Delays,P3,2026-03-27 18:09:00.000000000,True,217,False,2026-03-27 21:19:55.461789721,2026-03-30 01:41:24.852101132,3.182072719366944,55.54023669475889,0.0,1.0,False,False,False,0.71
847269,106,API Integrations,Webhook Failures,P2,2025-08-30 21:18:28.000000000,True,201,False,2025-08-30 23:12:09.586795502,2025-09-01 12:16:14.642459050,1.8948852209727776,38.962956238625,1.0,1.0,True,False,False,
847270,161,Fulfilment & Logistics,Tracking Updates,P4,2026-03-31 20:33:47.000000000,True,213,True,2026-04-01 03:26:12.814301326,2026-04-02 19:00:51.050857124,6.873837305923889,46.45112523809,0.0,0.0,False,False,False,
847271,201,Notifications,Template Syntax Error,P3,2026-03-05 00:01:13.000000000,True,220,False,2026-03-05 02:46:49.366083938,2026-03-05 18:32:07.338468536,2.760101689982778,18.51509401903778,0.0,0.0,False,False,False,
847272,147,API Integrations,Authentication Error,P3,2026-01-08 11:27:12.000000000,True,205,False,2026-01-08 13:47:16.870254526,2026-01-09 21:53:22.301912239,2.3346861818127778,34.436194975621945,0.0,1.0,True,False,False,
847273,101,Payments & Checkout,Card Declines,P3,2025-03-13 09:25:49.000000000,True,204,False,2025-03-13 12:14:07.682709904,2025-03-15 16:47:35.645118884,2.80518964164,55.362956977467775,0.0,1.0,False,False,False,
847274,187,Notifications,SMS Gateway Drag,P3,2026-06-09 14:22:06.000000000,True,220,False,2026-06-09 18:06:31.295327610,2026-06-10 08:14:18.160932542,3.740359813225,17.870044703483888,0.0,0.0,False,False,False,
847275,176,Payments & Checkout,Payout Delays,P3,2025-07-14 17:03:32.000000000,True,204,False,2025-07-14 19:43:18.315784865,2025-07-16 17:11:24.050699634,2.6628654957958338,48.13112519434278,0.0,1.0,True,False,False,
847276,136,API Integrations,Webhook Failures,P3,2025-02-01 21:04:26.000000000,True,211,False,2025-02-01 22:16:15.557650586,2025-02-02 19:11:32.720165631,1.197099347385,22.118533379341947,0.0,0.0,False,False,False,
847277,128,Fulfilment & Logistics,Tracking Updates,P3,2025-10-03 22:52:32.000000000,True,209,False,2025-10-04 02:03:04.042678505,2025-10-05 00:00:06.447520776,3.1755674106958334,25.126235422437777,0.0,1.0,False,False,False,
847278,127,API Integrations,Webhook Failures,P4,2025-04-03 06:07:58.000000000,True,201,False,2025-04-03 13:59:40.428869596,2025-04-07 22:01:08.787850643,7.86178579711,111.88632995851194,0.0,1.0,False,False,False,
847279,177,Payments & Checkout,Card Declines,P3,2025-03-07 09:01:06.000000000,True,217,False,2025-03-07 11:54:03.884887250,2025-03-09 19:07:05.438048222,2.882745802013889,58.09984390228389,0.0,1.0,True,False,False,
847280,135,API Integrations,Endpoint Timeout,P2,2025-08-22 12:06:04.000000000,True,214,False,2025-08-22 12:45:07.270502656,2025-08-23 01:41:40.826839355,0.6509084729600001,13.593563010931945,0.0,1.0,False,False,False,
847281,169,Notifications,SMS Gateway Drag,P4,2025-12-14 10:57:02.000000000,True,218,False,2025-12-14 18:01:14.136261926,2025-12-15 14:44:23.234057100,7.070037850535,27.789231682527777,0.0,0.0,False,False,False,0.83
847282,209,Payments & Checkout,3DS Authentication,P2,2025-03-25 14:13:48.000000000,True,207,False,2025-03-25 15:38:19.467775795,2025-03-26 09:20:58.412603695,1.4087410488319445,19.119559056581945,1.0,1.0,False,False,False,
847283,211,Notifications,Webhook Retries,P3,2025-05-26 05:10:54.000000000,True,218,False,2025-05-26 08:01:05.295963711,2025-05-27 01:38:16.125488698,2.836471101030833,20.45614596908278,0.0,0.0,False,False,False,
847284,189,Payments & Checkout,Payout Delays,P3,2025-10-21 20:04:13.000000000,True,217,False,2025-10-21 23:56:52.725494334,2025-10-23 13:15:12.720424139,3.877701526203889,41.183255673371946,0.0,1.0,True,False,False,0.4
847285,198,Account Access,User Permissions,P3,2025-02-21 07:09:19.000000000,True,219,False,2025-02-21 09:46:43.205568840,2025-02-21 23:49:48.843953586,2.6233904357888886,16.67495665377389,0.0,0.0,False,False,False,
847286,155,Payments & Checkout,Payout Delays,P2,2026-04-19 06:32:14.000000000,True,204,False,2026-04-19 08:07:17.407970048,2026-04-20 03:39:05.570731034,1.58427999168,21.114325203065,1.0,1.0,True,False,False,
847287,153,API Integrations,Webhook Failures,P3,2025-12-11 18:48:33.000000000,True,214,False,2025-12-11 20:21:06.274578656,2025-12-12 17:07:13.738733560,1.542576271848889,22.31131631487778,0.0,0.0,False,False,False,
847288,183,Notifications,Email Delivery Failure,P4,2025-10-22 03:51:36.000000000,True,218,False,2025-10-22 11:41:26.048758293,2025-10-23 10:44:43.410222801,7.8305690995258335,30.885391728555835,0.0,0.0,False,False,False,
847289,101,Payments & Checkout,Card Declines,P3,2025-07-27 18:22:36.000000000,True,204,False,2025-07-27 21:02:36.766042730,2025-07-29 15:06:11.305939358,2.6668794563138887,44.72647387204388,0.0,1.0,True,False,False,
847290,165,Account Access,2FA Reset,P3,2026-05-08 18:34:36.000000000,True,213,False,2026-05-08 21:05:20.385347494,2026-05-09 08:12:41.290294585,2.512329263192778,13.634802859606944,0.0,0.0,False,False,False,
847291,172,Payments & Checkout,Refund Processing,P3,2025-06-02 11:47:41.000000000,True,207,False,2025-06-02 14:17:59.321609643,2025-06-03 20:06:24.530056370,2.5050893360119444,32.312091682325,0.0,1.0,True,False,False,0.43
847292,103,Fulfilment & Logistics,Carrier Sync Failure,P3,2025-11-30 17:31:32.000000000,True,203,True,2025-11-30 21:08:17.506031778,2025-12-01 22:56:22.289428696,3.612640564382778,29.41396928574889,0.0,1.0,False,False,False,
847293,208,Account Access,Password Reset,P4,2025-09-09 03:12:52.000000000,True,203,False,2025-09-09 07:50:02.394015322,2025-09-10 15:34:37.820023753,4.619553893145,36.36272778437584,0.0,0.0,False,False,False,
847294,147,Notifications,SMS Gateway Drag,P4,2026-03-26 03:35:10.000000000,True,220,False,2026-03-26 10:12:20.572168493,2026-03-27 19:27:30.042394686,6.619603380136945,39.87223399852389,0.0,0.0,False,False,False,
847295,151,Notifications,Email Delivery Failure,P3,2026-02-12 02:47:37.000000000,True,218,False,2026-02-12 05:51:28.277854880,2026-02-12 18:22:13.085464587,3.0642438485777777,15.57669040682972,0.0,0.0,False,False,False,
847296,179,API Integrations,Rate Limiting,P3,2025-03-23 11:35:56.000000000,True,205,False,2025-03-23 14:10:39.479573517,2025-03-24 20:04:06.968776288,2.578744325976944,32.46971354896889,0.0,1.0,False,False,False,
847297,138,Account Access,User Permissions,P4,2025-08-13 23:13:54.000000000,True,204,True,2025-08-14 13:44:45.574001997,2025-08-16 05:05:25.158519573,14.514326111665834,53.85865514432583,1.0,1.0,False,False,False,
847298,206,Payments & Checkout,Refund Processing,P4,2025-02-24 21:48:12.000000000,True,215,False,2025-02-25 04:01:41.219294053,2025-02-28 05:00:52.099972899,6.224783137236945,79.21113888136084,0.0,1.0,True,False,False,
847299,110,Account Access,2FA Reset,P4,2025-11-18 13:20:02.000000000,True,213,False,2025-11-18 17:22:34.038225933,2025-11-19 20:24:41.367921972,4.042232840536944,31.07760220054778,0.0,0.0,False,False,False,
847300,188,Payments & Checkout,3DS Authentication,P4,2025-07-06 17:11:46.000000000,True,204,False,2025-07-06 23:24:09.529195108,2025-07-10 04:50:45.910975232,6.20653588753,83.64997527089778,0.0,1.0,True,False,False,
847301,177,Notifications,SMS Gateway Drag,P3,2025-07-03 02:36:48.000000000,True,220,False,2025-07-03 06:18:45.696561488,2025-07-03 18:38:08.614062990,3.699360155968889,16.022392795275,0.0,0.0,False,False,False,
847302,123,Account Access,User Permissions,P2,2025-10-27 22:17:17.000000000,True,217,True,2025-10-27 23:42:42.961546686,2025-10-28 12:46:43.777282128,1.4238782074127776,14.490771467257778,1.0,1.0,False,False,False,
847303,204,Account Access,Password Reset,P3,2026-02-13 05:45:38.000000000,True,210,True,2026-02-13 09:14:07.751531510,2026-02-14 05:15:37.814895023,3.4749309809750004,23.499948581950832,0.0,0.0,False,False,False,
847304,127,API Integrations,Endpoint Timeout,P3,2025-09-18 01:43:29.000000000,True,201,False,2025-09-18 04:08:36.819451875,2025-09-20 10:01:48.629214585,2.418838736631945,56.30545255960695,0.0,1.0,False,False,False,
847305,151,Notifications,Template Syntax Error,P2,2025-08-28 01:31:36.000000000,True,220,False,2025-08-28 02:23:56.894954304,2025-08-28 05:38:18.497950651,0.8724708206399999,4.111804986291944,0.0,0.0,False,False,False,
847306,161,Account Access,2FA Reset,P2,2025-07-13 08:09:12.000000000,True,202,False,2025-07-13 09:28:11.561450553,2025-07-13 19:19:15.844593829,1.3165448473758334,11.167734609396945,1.0,1.0,False,False,False,
847307,112,Notifications,SMS Gateway Drag,P2,2026-01-17 11:17:59.000000000,True,220,False,2026-01-17 12:15:16.270600896,2026-01-17 17:11:27.695365336,0.9547973891377778,5.891304268148889,0.0,0.0,False,False,False,
847308,190,Fulfilment & Logistics,Carrier Sync Failure,P3,2025-06-20 20:57:48.000000000,True,208,False,2025-06-20 23:39:49.091678720,2025-06-21 22:31:50.657119224,2.700303244088889,25.56740475534,0.0,1.0,False,False,False,
847309,147,Notifications,Webhook Retries,P1,2025-05-08 00:51:03.000000000,True,218,False,2025-05-08 01:22:32.350113614,2025-05-08 03:08:27.886158115,0.5248194760038889,2.2902461550319444,1.0,1.0,False,False,False,
847310,163,Payments & Checkout,3DS Authentication,P2,2025-02-07 04:09:13.000000000,True,207,False,2025-02-07 05:27:39.283173032,2025-02-07 17:56:40.113386106,1.3073008813977778,13.79086482947389,1.0,1.0,False,False,False,
847311,108,Notifications,Email Delivery Failure,P3,2026-04-10 14:41:03.000000000,True,220,False,2026-04-10 17:06:42.230265043,2026-04-11 06:05:28.247349291,2.427563962511944,15.407013152580832,0.0,0.0,False,False,False,
847312,147,Payments & Checkout,Payout Delays,P2,2025-11-07 09:54:21.000000000,True,211,True,2025-11-07 10:34:52.512013809,2025-11-07 18:36:41.778649437,0.6754200038358333,8.705771847065833,0.0,1.0,False,False,False,
847313,102,Fulfilment & Logistics,Tracking Updates,P3,2026-04-14 18:13:42.000000000,True,209,False,2026-04-14 21:41:59.344723083,2026-04-16 00:35:42.315412478,3.471484645300833,30.36675428124389,0.0,1.0,False,False,False,
